,high,close,open,low
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-02,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,,,,
2010-04-19,,,,
2010-04-20,,,,
2010-04-21,,,,
2010-04-22,,,,
2010-04-23,,,,
2010-04-26,,,,
2010-04-27,,,,
2010-04-28,,,,
2010-04-29,,,,
2010-04-30,,,,
2010-05-04,,,,
2010-05-05,,,,
2010-05-06,,,,
2010-05-07,,,,
2010-05-10,,,,
2010-05-11,,,,
2010-05-12,,,,
2010-05-13,,,,
2010-05-14,,,,
2010-05-17,,,,
2010-05-18,,,,
2010-05-19,,,,
2010-05-20,,,,
2010-05-21,,,,
2010-05-24,,,,
2010-05-25,,,,
2010-05-26,,,,
2010-05-27,,,,
2010-05-28,,,,
2010-05-31,,,,
2010-06-01,,,,
2010-06-02,,,,
2010-06-03,,,,
2010-06-04,,,,
2010-06-07,,,,
2010-06-08,,,,
2010-06-09,,,,
2010-06-10,,,,
2010-06-11,,,,
2010-06-17,,,,
2010-06-18,,,,
2010-06-21,,,,
2010-06-22,,,,
2010-06-23,,,,
2010-06-24,,,,
2010-06-25,,,,
2010-06-28,,,,
2010-06-29,,,,
2010-06-30,,,,
2010-07-01,,,,
2010-07-02,,,,
2010-07-05,,,,
2010-07-06,,,,
2010-07-07,,,,
2010-07-08,,,,
2010-07-09,,,,
2010-07-12,,,,
2010-07-13,,,,
2010-07-14,,,,
2010-07-15,,,,
2010-07-16,,,,
2010-07-19,,,,
2010-07-20,,,,
2010-07-21,,,,
2010-07-22,,,,
2010-07-23,,,,
2010-07-26,,,,
2010-07-27,,,,
2010-07-28,,,,
2010-07-29,,,,
2010-07-30,,,,
2010-08-02,,,,
2010-08-03,,,,
2010-08-04,,,,
2010-08-05,,,,
2010-08-06,,,,
2010-08-09,,,,
2010-08-10,,,,
2010-08-11,,,,
2010-08-12,,,,
2010-08-13,,,,
2010-08-16,,,,
2010-08-17,,,,
2010-08-18,2.712675,2.668922,2.45745,2.442866
2010-08-19,2.792889,2.698091,2.654338,2.62517
2010-08-20,2.727259,2.683507,2.690799,2.654338
2010-08-23,2.705383,2.596001,2.668922,2.574125
2010-08-24,2.654338,2.596001,2.581417,2.566832
2010-08-25,2.588709,2.52308,2.574125,2.508495
2010-08-26,2.552248,2.530372,2.530372,2.508495
2010-08-27,2.537664,2.537664,2.52308,2.508495
2010-08-30,2.566832,2.544956,2.544956,2.515787
2010-08-31,2.530372,2.479327,2.52308,2.464743
2010-09-01,2.62517,2.537664,2.479327,2.464743
2010-09-02,2.574125,2.537664,2.566832,2.508495
2010-09-03,2.566832,2.55954,2.530372,2.515787
2010-09-06,2.62517,2.610585,2.566832,2.55954
2010-09-07,2.617877,2.588709,2.610585,2.566832
2010-09-08,2.574125,2.544956,2.566832,2.530372
2010-09-09,2.603293,2.544956,2.552248,2.508495
2010-09-10,2.552248,2.544956,2.552248,2.515787
2010-09-13,2.566832,2.552248,2.537664,2.52308
2010-09-14,2.581417,2.537664,2.55954,2.52308
2010-09-15,2.530372,2.508495,2.52308,2.493911
2010-09-16,2.508495,2.450158,2.501203,2.428282
2010-09-17,2.464743,2.450158,2.45745,2.435574
2010-09-20,2.464743,2.442866,2.450158,2.42099
2010-09-21,2.472035,2.472035,2.450158,2.435574
2010-09-27,2.479327,2.464743,2.450158,2.450158
2010-09-28,2.464743,2.435574,2.464743,2.42099
2010-09-29,2.479327,2.464743,2.428282,2.42099
2010-09-30,2.55954,2.52308,2.442866,2.442866
2010-10-08,2.574125,2.55954,2.544956,2.515787
2010-10-11,2.683507,2.610585,2.55954,2.537664
2010-10-12,2.62517,2.610585,2.588709,2.566832
2010-10-13,2.792889,2.778304,2.610585,2.596001
2010-10-14,3.055406,3.055406,2.843934,2.843934
2010-10-15,3.361675,3.332507,3.048114,3.018945
2010-10-18,3.551271,3.288754,3.536687,3.259586
2010-10-19,3.405428,3.325215,3.288754,3.186664
2010-10-20,3.573147,3.427305,3.325215,3.325215
2010-10-21,3.398136,3.259586,3.354383,3.201248
2010-10-22,3.398136,3.259586,3.354383,3.201248
2010-10-25,3.317923,3.296046,3.208541,3.113743
2010-10-26,3.296046,3.230417,3.259586,3.164788
2010-10-27,3.347091,3.237709,3.193956,3.164788
2010-10-28,3.259586,3.208541,3.223125,3.128327
2010-10-29,3.223125,3.150203,3.223125,3.113743
2010-11-01,3.201248,3.186664,3.135619,3.121035
2010-11-02,3.390844,3.281462,3.17208,3.106451
2010-11-03,3.609608,3.573147,3.245001,3.179372
2010-11-04,3.595024,3.51481,3.500226,3.449181
2010-11-05,3.675237,3.565855,3.522102,3.507518
2010-11-08,3.667945,3.565855,3.573147,3.529395
2010-11-09,3.565855,3.463765,3.565855,3.405428
2010-11-10,3.449181,3.398136,3.441889,3.354383
2010-11-11,3.500226,3.449181,3.398136,3.37626
2010-11-12,3.405428,3.157496,3.398136,3.106451
2010-11-15,3.186664,3.157496,3.157496,2.9679
2010-11-16,3.106451,2.9679,3.106451,2.916855
2010-11-17,3.055406,2.9679,2.916855,2.880394
2010-11-18,2.924147,2.858518,2.909563,2.771012
2010-11-19,2.851226,2.822057,2.836642,2.719967
2010-11-22,2.814765,2.785597,2.76372,2.741844
2010-11-23,2.771012,2.719967,2.771012,2.66163
2010-11-24,2.807473,2.76372,2.712675,2.712675
2010-11-25,2.938731,2.887686,2.778304,2.749136
